,atomic_numbers_mean,atomic_numbers_max,atomic_numbers_min,atomic_numbers_std,volume_per_atom,empty_volume,metals_fraction,distance_matrix_mean,distance_matrix_max,distance_matrix_min,distance_matrix_std,van_der_waals_radius_mean,van_der_waals_radius_max,van_der_waals_radius_min,van_der_waals_radius_std,electrical_resistivity_mean,electrical_resistivity_max,electrical_resistivity_min,electrical_resistivity_std,velocity_of_sound_mean,velocity_of_sound_max,velocity_of_sound_min,velocity_of_sound_std,reflectivity_mean,reflectivity_max,reflectivity_min,reflectivity_std,poissons_ratio_mean,poissons_ratio_max,poissons_ratio_min,poissons_ratio_std,molar_volume_mean,molar_volume_max,molar_volume_min,molar_volume_std,thermal_conductivity_mean,thermal_conductivity_max,thermal_conductivity_min,thermal_conductivity_std,melting_point_mean,melting_point_max,melting_point_min,melting_point_std,critical_temperature_mean,critical_temperature_max,critical_temperature_min,critical_temperature_std,superconduction_temperature_mean,superconduction_temperature_max,superconduction_temperature_min,superconduction_temperature_std,liquid_range_mean,liquid_range_max,liquid_range_min,liquid_range_std,bulk_modulus_mean,bulk_modulus_max,bulk_modulus_min,bulk_modulus_std,youngs_modulus_mean,youngs_modulus_max,youngs_modulus_min,youngs_modulus_std,brinell_hardness_mean,brinell_hardness_max,brinell_hardness_min,brinell_hardness_std,rigidity_modulus_mean,rigidity_modulus_max,rigidity_modulus_min,rigidity_modulus_std,vickers_hardness_mean,vickers_hardness_max,vickers_hardness_min,vickers_hardness_std,density_of_solid_mean,density_of_solid_max,density_of_solid_min,density_of_solid_std,coefficient_of_linear_thermal_expansion_mean,coefficient_of_linear_thermal_expansion_max,coefficient_of_linear_thermal_expansion_min,coefficient_of_linear_thermal_expansion_std,average_ionic_radius_mean,average_ionic_radius_max,average_ionic_radius_min,average_ionic_radius_std,average_cationic_radius_mean,average_cationic_radius_max,average_cationic_radius_min,average_cationic_radius_std,average_anionic_radius_mean,average_anionic_radius_max,average_anionic_radius_min,average_anionic_radius_std
19,20.666666666666668,38,7,14.344956527566673,16.44551459622157,582.4044420342543,0.027777777777777776,4.236410141486755,7.663051047784241,0.0,1.4464588847451938,2.49,2.49,2.49,0.0,1.35e-07,1.35e-07,1.35e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,0.28,0.0,33.94,33.94,33.94,0.0,35.0,35.0,35.0,0.0,1050.0,1050.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0,605.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,6.1,6.1,0.0,0.0,0.0,0.0,0.0,2630.0,2630.0,2630.0,0.0,2.25e-05,2.25e-05,2.25e-05,0.0,1.32,1.32,1.32,0.0,1.32,1.32,1.32,0.0,0.0,0.0,0.0,0.0
20,50.333333333333336,69,32,15.107025591499548,22.835776440216577,131.51506036935254,0.16666666666666666,2.766715389030361,3.9181520582219513,0.0,1.2829417891813155,2.27,2.27,2.27,0.0,6.76e-07,6.76e-07,6.76e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.21,0.0,19.1,19.1,19.1,0.0,17.0,17.0,17.0,0.0,1818.0,1818.0,1818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,405.0,405.0,0.0,45.0,45.0,45.0,0.0,74.0,74.0,74.0,0.0,471.0,471.0,471.0,0.0,31.0,31.0,31.0,0.0,520.0,520.0,520.0,0.0,9321.0,9321.0,9321.0,0.0,1.33e-05,1.33e-05,1.33e-05,0.0,1.095,1.095,1.095,0.0,1.095,1.095,1.095,0.0,0.0,0.0,0.0,0.0
21,17.0,32,3,14.017845768876187,13.956879140809663,52.77388850394937,0.25,2.071897096749273,3.0334681068723306,0.0,1.2076618314276235,1.82,1.82,1.82,0.0,9.5e-08,9.5e-08,9.5e-08,0.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.02,13.02,13.02,0.0,85.0,85.0,85.0,0.0,453.69,453.69,453.69,0.0,3223.0,3223.0,3223.0,0.0,0.0,0.0,0.0,0.0,1161.31,1161.31,1161.31,0.0,11.0,11.0,11.0,0.0,4.9,4.9,4.9,0.0,0.0,0.0,0.0,0.0,4.2,4.2,4.2,0.0,0.0,0.0,0.0,0.0,535.0,535.0,535.0,0.0,4.6e-05,4.6e-05,4.6e-05,0.0,0.9,0.9,0.9,0.0,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0
22,24.5,38,13,11.672617529928752,27.149305454881837,153.26174929956886,0.16666666666666666,3.2486514392870762,5.448734527565541,0.0,1.668426775745732,2.49,2.49,2.49,0.0,1.35e-07,1.35e-07,1.35e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,0.28,0.0,33.94,33.94,33.94,0.0,35.0,35.0,35.0,0.0,1050.0,1050.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0,605.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,6.1,6.1,0.0,0.0,0.0,0.0,0.0,2630.0,2630.0,2630.0,0.0,2.25e-05,2.25e-05,2.25e-05,0.0,1.32,1.32,1.32,0.0,1.32,1.32,1.32,0.0,0.0,0.0,0.0,0.0
23,24.923076923076923,57,8,22.286462046106475,15.768701218216613,813.2291794474125,0.019230769230769232,5.58713927319653,10.227719464284625,0.0,2.2842965347228996,2.43,2.43,2.43,0.0,6.15e-07,6.15e-07,6.15e-07,0.0,2475.0,2475.0,2475.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,0.28,0.0,22.39,22.39,22.39,0.0,13.0,13.0,13.0,0.0,1193.0,1193.0,1193.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,2550.0,2550.0,2550.0,0.0,28.0,28.0,28.0,0.0,37.0,37.0,37.0,0.0,363.0,363.0,363.0,0.0,14.0,14.0,14.0,0.0,491.0,491.0,491.0,0.0,6146.0,6146.0,6146.0,0.0,1.21e-05,1.21e-05,1.21e-05,0.0,1.172,1.172,1.172,0.0,1.172,1.172,1.172,0.0,0.0,0.0,0.0,0.0
24,28.666666666666668,32,26,2.494438257849294,12.147041735607464,70.28704479791442,0.16666666666666666,2.256231543815608,3.46099444333202,0.0,1.0491181133702936,2.04,2.04,2.04,0.0,1e-07,1e-07,1e-07,0.0,4910.0,4910.0,4910.0,0.0,65.0,65.0,65.0,0.0,0.29,0.29,0.29,0.0,7.09,7.09,7.09,0.0,80.0,80.0,80.0,0.0,1811.0,1811.0,1811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1323.0,1323.0,1323.0,0.0,170.0,170.0,170.0,0.0,211.0,211.0,211.0,0.0,490.0,490.0,490.0,0.0,82.0,82.0,82.0,0.0,608.0,608.0,608.0,0.0,7874.0,7874.0,7874.0,0.0,1.18e-05,1.18e-05,1.18e-05,0.0,0.8525,0.8525,0.8525,0.0,0.8525,0.8525,0.8525,0.0,0.0,0.0,0.0,0.0
25,54.4,81,32,15.589740215924062,38.41443542730275,758.378329569182,0.0,5.484545344111576,9.875372694450176,0.0,2.159159577114412,1.96,1.96,1.96,0.0,1.5e-07,1.5e-07,1.5e-07,0.0,818.0,818.0,818.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.45,0.0,17.22,17.22,17.22,0.0,46.0,46.0,46.0,0.0,577.0,577.0,577.0,0.0,0.0,0.0,0.0,0.0,2.38,2.38,2.38,0.0,1169.0,1169.0,1169.0,0.0,43.0,43.0,43.0,0.0,8.0,8.0,8.0,0.0,26.4,26.4,26.4,0.0,2.8,2.8,2.8,0.0,0.0,0.0,0.0,0.0,11850.0,11850.0,11850.0,0.0,2.99e-05,2.99e-05,2.99e-05,0.0,1.3325,1.3325,1.3325,0.0,1.3325,1.3325,1.3325,0.0,0.0,0.0,0.0,0.0
26,42.0,78,16,26.280537792569366,17.111265238587762,203.4228619044914,0.0,2.8974011872806207,4.182488861611713,0.0,1.0741191176545215,2.11,2.11,2.11,0.0,0.0005,0.0005,0.0005,0.0,5400.0,5400.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.63,13.63,13.63,0.0,60.0,60.0,60.0,0.0,1211.4,1211.4,1211.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1881.6,1881.6,1881.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5323.0,5323.0,5323.0,0.0,6e-06,6e-06,6e-06,0.0,0.77,0.77,0.77,0.0,0.77,0.77,0.77,0.0,0.0,0.0,0.0,0.0
27,6.933333333333334,32,3,7.113055289786207,9.157012274253285,271.6567401683093,0.03333333333333333,3.497058580502928,6.185955565674813,0.0,1.334565524550988,1.82,1.82,1.82,0.0,9.5e-08,9.5e-08,9.5e-08,0.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.02,13.02,13.02,0.0,85.0,85.0,85.0,0.0,453.69,453.69,453.69,0.0,3223.0,3223.0,3223.0,0.0,0.0,0.0,0.0,0.0,1161.31,1161.31,1161.31,0.0,11.0,11.0,11.0,0.0,4.9,4.9,4.9,0.0,0.0,0.0,0.0,0.0,4.2,4.2,4.2,0.0,0.0,0.0,0.0,0.0,535.0,535.0,535.0,0.0,4.6e-05,4.6e-05,4.6e-05,0.0,0.9,0.9,0.9,0.0,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0
28,58.666666666666664,77,32,19.293061504650375,18.400461640973884,216.08011552709905,0.08333333333333333,3.119992786657777,5.489633709456615,0.0,1.201534262754338,2.3,2.3,2.3,0.0,8.14e-07,8.14e-07,8.14e-07,0.0,2760.0,2760.0,2760.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.23,0.0,18.74,18.74,18.74,0.0,16.0,16.0,16.0,0.0,1734.0,1734.0,1734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1259.0,1259.0,1259.0,0.0,40.0,40.0,40.0,0.0,65.0,65.0,65.0,0.0,746.0,746.0,746.0,0.0,26.0,26.0,26.0,0.0,481.0,481.0,481.0,0.0,8795.0,8795.0,8795.0,0.0,1.12e-05,1.12e-05,1.12e-05,0.0,1.041,1.041,1.041,0.0,1.041,1.041,1.041,0.0,0.0,0.0,0.0,0.0
